service_id,date,exception_type
3186,20260619,1
3076,20260620,1
3078,20260621,1
3184,20260622,1
3322,20260623,1
3326,20260624,1
3311,20260625,1
3313,20260626,1
3308,20260627,1
3310,20260628,1
3311,20260629,1
3311,20260630,1
3311,20260701,1
3311,20260702,1
3313,20260703,1
3308,20260704,1
3310,20260705,1
3311,20260706,1
3311,20260707,1
3311,20260708,1
3311,20260709,1
3313,20260710,1
3308,20260711,1
3310,20260712,1
3311,20260713,1
3311,20260714,1
3311,20260715,1
3311,20260716,1
3313,20260717,1
3308,20260718,1
3310,20260719,1
3311,20260720,1
3311,20260721,1
3311,20260722,1
3311,20260723,1
3313,20260724,1
3308,20260725,1
3310,20260726,1
3311,20260727,1
3311,20260728,1
3311,20260729,1
3311,20260730,1
3313,20260731,1
3308,20260801,1
3310,20260802,1
3308,20260808,1
3310,20260809,1
3310,20260816,1
3308,20260822,1
3310,20260823,1
3308,20260829,1
3310,20260830,1
3076,20260905,1
3078,20260906,1
3076,20260912,1
3078,20260913,1
3076,20260919,1
3078,20260920,1
3076,20260926,1
3078,20260927,1
3076,20261003,1
3078,20261004,1
3076,20261010,1
3078,20261012,1
3076,20261017,1
3078,20261018,1
3076,20261024,1
3078,20261025,1
3076,20261031,1
3078,20261101,1
3076,20261107,1
3078,20261108,1
3076,20261114,1
3078,20261115,1
3076,20261121,1
3078,20261122,1
3076,20261128,1
3078,20261129,1
3076,20261205,1
3078,20261206,1
3078,20261208,1
3076,20261212,1
3078,20261213,1
3076,20261219,1
3078,20261220,1
3184,20261224,1
3076,20261226,1
3078,20261227,1
3184,20261228,1
3184,20261229,1
3184,20261230,1
3184,20261231,1
