route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
V1-1-20,1,1,1 - Castelló - València Sud,1,FEC601,FFFFFF
V1-1-28,1,1,1 - Castelló - Beniferri,1,FEC601,FFFFFF
V1-1-29,1,1,1 - Castelló - Empalme,1,FEC601,FFFFFF
V1-1-35,1,1,1 - Castelló - Moncada - Alfara,1,FEC601,FFFFFF
V1-1-36,1,1,1 - Castelló - Seminari - CEU,1,FEC601,FFFFFF
V1-1-38,1,1,1 - Castelló - Horta Vella,1,FEC601,FFFFFF
V1-1-39,1,1,1 - Castelló - Bétera,1,FEC601,FFFFFF
V1-13-20,1,1,1 - Picassent - València Sud,1,E60096,FFFFFF
V1-13-29,1,1,1 - Picassent - Empalme,1,E60096,FFFFFF
V1-13-35,1,1,1 - Picassent - Moncada - Alfara,1,FEC601,FFFFFF
V1-13-36,1,1,1 - Picassent - Seminari - CEU,1,FEC601,FFFFFF
V1-13-39,1,1,1 - Picassent - Bétera,1,FEC601,FFFFFF
V1-14-38,1,1,1 - Sant Ramon - Horta Vella,1,FEC601,FFFFFF
V1-14-39,1,1,1 - Sant Ramon - Bétera,1,FEC601,FFFFFF
V1-17-20,1,1,1 - Torrent - València Sud,1,E60096,FFFFFF
V1-17-29,1,1,1 - Torrent - Empalme,1,E60096,FFFFFF
V1-17-35,1,1,1 - Torrent - Moncada - Alfara,1,FEC601,FFFFFF
V1-17-36,1,1,1 - Torrent - Seminari - CEU,1,FEC601,FFFFFF
V1-17-38,1,1,1 - Torrent - Horta Vella,1,FEC601,FFFFFF
V1-17-39,1,1,1 - Torrent - Bétera,1,FEC601,FFFFFF
V1-18-35,1,1,1 - Picanya - Moncada - Alfara,1,FEC601,FFFFFF
V1-18-36,1,1,1 - Picanya - Seminari - CEU,1,FEC601,FFFFFF
V1-18-39,1,1,1 - Picanya - Bétera,1,FEC601,FFFFFF
V1-2-28,1,1,1 - Alberic - Beniferri,1,FEC601,FFFFFF
V1-2-36,1,1,1 - Alberic - Seminari - CEU,1,FEC601,FFFFFF
V1-20-1,1,1,1 - València Sud - Castelló,1,FEC601,FFFFFF
V1-20-13,1,1,1 - València Sud - Picassent,1,E60096,FFFFFF
V1-20-17,1,1,1 - València Sud - Torrent,1,E60096,FFFFFF
V1-20-29,1,1,1 - València Sud - Empalme,1,E60096,FFFFFF
V1-20-36,1,1,1 - València Sud - Seminari - CEU,1,FEC601,FFFFFF
V1-20-39,1,1,1 - València Sud - Bétera,1,FEC601,FFFFFF
V1-20-5,1,1,1 - València Sud - L'Alcúdia,1,FEC601,FFFFFF
V1-25-24,1,1,1 - Àngel Guimerà - Pl. Espanya,0,FEC601,FFFFFF
V1-28-1,1,1,1 - Beniferri - Castelló,1,FEC601,FFFFFF
V1-28-14,1,1,1 - Beniferri - Sant Ramon,0,FEC601,FFFFFF
V1-28-20,1,1,1 - Beniferri - València Sud,1,FEC601,FFFFFF
V1-29-1,1,1,1 - Empalme - Castelló,1,FEC601,FFFFFF
V1-29-13,1,1,1 - Empalme - Picassent,1,E60096,FFFFFF
V1-29-20,1,1,1 - Empalme - València Sud,1,E60096,FFFFFF
V1-35-1,1,1,1 - Moncada - Alfara - Castelló,1,FEC601,FFFFFF
V1-35-13,1,1,1 - Moncada - Alfara - Picassent,1,FEC601,FFFFFF
V1-35-17,1,1,1 - Moncada - Alfara - Torrent,1,FEC601,FFFFFF
V1-35-18,1,1,1 - Moncada - Alfara - Picanya,1,FEC601,FFFFFF
V1-35-2,1,1,1 - Moncada - Alfara - Alberic,1,FEC601,FFFFFF
V1-35-78,1,1,1 - Moncada - Alfara - Sant Isidre,0,FEC601,FFFFFF
V1-36-1,1,1,1 - Seminari - CEU - Castelló,1,FEC601,FFFFFF
V1-36-13,1,1,1 - Seminari - CEU - Picassent,1,FEC601,FFFFFF
V1-36-17,1,1,1 - Seminari - CEU - Torrent,1,FEC601,FFFFFF
V1-36-18,1,1,1 - Seminari - CEU - Picanya,1,FEC601,FFFFFF
V1-36-2,1,1,1 - Seminari - CEU - Alberic,1,FEC601,FFFFFF
V1-36-20,1,1,1 - Seminari - CEU - València Sud,1,FEC601,FFFFFF
V1-36-5,1,1,1 - Seminari - CEU - L'Alcúdia,1,FEC601,FFFFFF
V1-38-13,1,1,1 - Horta Vella - Picassent,1,FEC601,FFFFFF
V1-38-17,1,1,1 - Horta Vella - Torrent,1,FEC601,FFFFFF
