shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,39.6228408813,-0.590277791,1
1,39.6143951416,-0.5959117413,2
1,39.6133918762,-0.5962336063,3
1,39.6075401306,-0.5948925018,4
1,39.5988807678,-0.5839277506,5
1,39.5927238464,-0.5780805349,6
1,39.5827636719,-0.5622777939,7
1,39.572052002,-0.5453681946,8
1,39.5686645508,-0.5419166684,9
1,39.561832428,-0.5359194279,10
1,39.5555725098,-0.5316972136,11
1,39.5498657227,-0.5279861093,12
1,39.5435333252,-0.5225372314,13
1,39.5426902771,-0.5206489563,14
1,39.5424575806,-0.5189538002,15
1,39.5433349609,-0.5139539838,16
1,39.5439796448,-0.5108642578,17
1,39.5440788269,-0.509083271,18
1,39.5439300537,-0.5079030991,19
1,39.5434188843,-0.5065083504,20
1,39.5378417969,-0.4979777634,21
1,39.5325775146,-0.4912948608,22
1,39.5268058777,-0.4871222079,23
1,39.5234909058,-0.4816174507,24
1,39.5230522156,-0.4802763462,25
1,39.5194015503,-0.4710388184,26
1,39.5127334595,-0.4661035538,27
1,39.5111732483,-0.4645166695,28
1,39.505657196,-0.4551055431,29
1,39.501625061,-0.448679924,30
1,39.4988098145,-0.4419719875,31
1,39.4973754883,-0.4394102097,32
1,39.4961929321,-0.4368031025,33
1,39.4958457947,-0.435323,34
1,39.4950828552,-0.4323077202,35
1,39.4951095581,-0.4314386845,36
1,39.4953804016,-0.430752039,37
1,39.496383667,-0.4286813736,38
1,39.4975090027,-0.4265463352,39
1,39.4987373352,-0.4254194498,40
1,39.5003967285,-0.4234457016,41
1,39.5014076233,-0.4217505455,42
1,39.5018043518,-0.4206883907,43
1,39.5018768311,-0.4194111228,44
1,39.501914978,-0.4176414013,45
1,39.5015335083,-0.4159462452,46
1,39.5014228821,-0.4145944118,47
1,39.501739502,-0.4136610031,48
1,39.5023803711,-0.4120722115,49
1,39.5025177002,-0.4099702835,50
1,39.5027160645,-0.4077172279,51
1,39.5027160645,-0.406537056,52
1,39.5025520325,-0.4057860374,53
1,39.5020217896,-0.4048633575,54
1,39.4995765686,-0.4021083415,55
1,39.4910316467,-0.3993369341,56
1,39.4846305847,-0.3950361013,57
1,39.4788665771,-0.3912055492,58
1,39.4703025818,-0.3850361109,59
1,39.4662017822,-0.3816333413,60
1,39.4592018127,-0.3845416605,61
1,39.456451416,-0.3905083239,62
1,39.4545707703,-0.3983833194,63
1,39.4510345459,-0.4028027654,64
1,39.4485969543,-0.4049491882,65
1,39.4427986145,-0.4090690613,66
1,39.4408111572,-0.4106472135,67
1,39.437789917,-0.4129528999,68
1,39.4349746704,-0.415045023,69
1,39.433380127,-0.4163110256,70
1,39.4331130981,-0.4165792465,71
1,39.4328689575,-0.4168796539,72
1,39.432598114,-0.4172927141,73
1,39.4322624207,-0.4180611074,74
1,39.4304771423,-0.4229736328,75
1,39.4304428101,-0.4244327545,76
1,39.4331207275,-0.4371583462,77
1,39.4373855591,-0.4577350616,78
1,39.437286377,-0.4592370987,79
1,39.4369392395,-0.4602456093,80
1,39.4346466064,-0.4609861076,81
1,39.4267463684,-0.461769104,82
1,39.4259490967,-0.4634857178,83
1,39.4258842468,-0.4645586014,84
1,39.4265136719,-0.4666614532,85
1,39.4318122864,-0.4728333354,86
2,39.5906066895,-0.4575305581,1
2,39.5868873596,-0.4494524002,2
2,39.5819320679,-0.4431444407,3
2,39.576385498,-0.4285526276,4
2,39.5658683777,-0.4110002518,5
2,39.5665817261,-0.4053777754,6
2,39.5669593811,-0.4022026062,7
2,39.5650405884,-0.3985548019,8
2,39.549987793,-0.3897444308,9
2,39.5435295105,-0.388461113,10
2,39.5404548645,-0.3888130188,11
2,39.5366096497,-0.4028777778,12
2,39.5287094116,-0.4075777829,13
2,39.5195045471,-0.4144555628,14
2,39.5135307312,-0.4119972289,15
2,39.5084152222,-0.4067361057,16
2,39.4995765686,-0.4021083415,17
2,39.4910316467,-0.3993369341,18
2,39.4846305847,-0.3950361013,19
2,39.4788665771,-0.3912055492,20
2,39.4703025818,-0.3850361109,21
2,39.4662017822,-0.3816333413,22
2,39.4592018127,-0.3845416605,23
2,39.456451416,-0.3905083239,24
2,39.4545707703,-0.3983833194,25
2,39.4510345459,-0.4028027654,26
2,39.4408111572,-0.4106472135,27
2,39.4322624207,-0.4180611074,28
2,39.4304580688,-0.4234027863,29
2,39.4331207275,-0.4371583462,30
2,39.4373207092,-0.4577350616,31
2,39.4369392395,-0.4602348804,32
2,39.4346466064,-0.4609861076,33
2,39.4231338501,-0.4606527686,34
2,39.3939056396,-0.4640137851,35
2,39.3848648071,-0.4672611058,36
2,39.3738212585,-0.4720258713,37
2,39.3630371094,-0.4648583233,38
2,39.3588218689,-0.4672622681,39
2,39.3532447815,-0.4736869931,40
2,39.3395767212,-0.4767465591,41
2,39.3218841553,-0.4667472243,42
2,39.317565918,-0.4640436172,43
2,39.2894058228,-0.4640861154,44
2,39.2775154114,-0.4653739929,45
2,39.2629394531,-0.4748860002,46
2,39.2495574951,-0.4919772148,47
2,39.2350120544,-0.5094051361,48
2,39.2328186035,-0.5228805542,49
2,39.2267990112,-0.5249416828,50
2,39.216293335,-0.5196194649,51
2,39.200466156,-0.5097484589,52
2,39.193813324,-0.5102638602,53
2,39.1737976074,-0.5158861279,54
2,39.1438064575,-0.5187610984,55
2,39.1170501709,-0.5235260129,56
2,39.1080169678,-0.5255413055,57
2,39.1020240784,-0.5228805542,58
2,39.0950317383,-0.5150699615,59
2,39.0840072632,-0.5160138607,60
3,39.5885238647,-0.3310583234,1
3,39.5794181824,-0.3304361105,2
3,39.576675415,-0.3301477432,3
3,39.5752639771,-0.3301048279,4
3,39.5705604553,-0.3330333233,5
3,39.565700531,-0.33598423,6
3,39.5615768433,-0.3408555686,7
3,39.5604705811,-0.3421103954,8
3,39.5592460632,-0.3432261944,9
3,39.5469093323,-0.3472280502,10
3,39.5452651978,-0.3482888937,11
3,39.5436325073,-0.3492504358,12
3,39.5372238159,-0.3538694382,13
