stop_id,stop_name,stop_lat,stop_lon,zone_id
20,València Sud,39.4408111572,-0.4106472135,A
19,Paiporta,39.4322624207,-0.4180611074,A B
18,Picanya,39.4331207275,-0.4371583462,A B
17,Torrent,39.4346466064,-0.4609861076,A B
16,Col·legi El Vedat,39.4231338501,-0.4606527686,A B
15,Realón,39.3939056396,-0.4640137851,A B
14,Sant Ramon,39.3848648071,-0.4672611058,A B
13,Picassent,39.3630371094,-0.4648583233,A B
12,Omet,39.3532447815,-0.4736869931,A B
11,Espioca,39.3218841553,-0.4667472243,A B
10,Font Almaguer,39.2894058228,-0.4640861154,B
9,Alginet,39.2629394531,-0.4748860002,B
8,Ausiàs March,39.2495574951,-0.4919772148,B
7,Carlet,39.2267990112,-0.5249416828,B
6,Benimodo,39.216293335,-0.5196194649,B
5,L'Alcúdia,39.193813324,-0.5102638602,B
4,Montortal,39.1737976074,-0.5158861279,B
3,Massalavés,39.1438064575,-0.5187610984,B
2,Alberic,39.1170501709,-0.5235260129,B
1,Castelló,39.0840072632,-0.5160138607,B
29,Empalme,39.4995765686,-0.4021083415,A
28,Beniferri,39.4910316467,-0.3993369341,A
27,Campanar,39.4846305847,-0.3950361013,A
26,Túria,39.4788665771,-0.3912055492,A
25,Àngel Guimerà,39.4703025818,-0.3850361109,A
24,Pl. Espanya,39.4662017822,-0.3816333413,A
23,Jesús,39.4592018127,-0.3845416605,A
22,Patraix,39.456451416,-0.3905083239,A
21,Safranar,39.4545707703,-0.3983833194,A
78,Sant Isidre,39.4510345459,-0.4028027654,A
39,Bétera,39.5906066895,-0.4575305581,B
38,Horta Vella,39.5819320679,-0.4431444407,B
37,Masies,39.5665817261,-0.4053777754,A B
36,Seminari - CEU,39.549987793,-0.3897444308,A B
35,Moncada - Alfara,39.5435295105,-0.388461113,A B
34,Massarrojos,39.5366096497,-0.4028777778,A B
33,Rocafort,39.5287094116,-0.4075777829,A B
32,Godella,39.5195045471,-0.4144555628,A B
31,Burjassot - Godella,39.5135307312,-0.4119972289,A B
30,Burjassot,39.5084152222,-0.4067361057,A B
107,Torrent Avinguda,39.4318122864,-0.4728333354,A B
44,Paterna,39.4988098145,-0.4419719875,A B
43,Campament,39.4958457947,-0.435323,A B
42,Les Carolines - Fira,39.4987373352,-0.4254194498,A B
41,Benimàmet,39.5018768311,-0.4194111228,A B
40,Cantereria,39.5023803711,-0.4120722115,A B
54,Llíria,39.6228408813,-0.590277791,B
53,Benaguasil,39.5988807678,-0.5839277506,B
52,Fondo de Benaguasil,39.5927238464,-0.5780805349,B
51,La Pobla de Vallbona,39.5827636719,-0.5622777939,B
119,Gallipont - Torre del Virrei,39.5686645508,-0.5419166684,B
50,L'Eliana,39.561832428,-0.5359194279,B
49,Montesol,39.5555725098,-0.5316972136,B
48,El Clot,39.5498657227,-0.5279861093,B
65,Entrepins,39.5433349609,-0.5139539838,B
47,La Vallesa,39.5378417969,-0.4979777634,A B
46,La Canyada,39.5268058777,-0.4871222079,A B
198,Font del Barranc,39.5168998,-0.4716618,A B
45,Fuente del Jarro,39.5111732483,-0.4645166695,A B
77,Santa Rita,39.505657196,-0.4551055431,A B
66,Machado,39.4924316406,-0.3587944508,A
67,Benimaclet,39.4848518372,-0.3623333275,A
68,Facultats - Manuel Broseta,39.4780044556,-0.361905545,A
69,Alameda,39.4731559753,-0.3653166592,A
70,Colón,39.4701461792,-0.3709277809,A
71,Xàtiva,39.4671859741,-0.3773750067,A
73,Av. del Cid,39.4682197571,-0.397574991,A
74,Nou d'Octubre,39.4706573486,-0.4076305628,A
75,Mislata,39.4738235474,-0.418305546,A B
76,Mislata Almassil,39.4760093689,-0.4243694544,A B
177,Faitanar,39.4776191711,-0.4331833422,A B
178,Quart de Poblet,39.481086731,-0.441880554,A B
179,Salt de l'Aigua,39.4848327637,-0.4505681992,A B
180,Manises,39.4895896912,-0.4590654373,A B
181,Roses,39.4926490784,-0.4672361016,A B
182,Aeroport,39.4923667908,-0.4749194384,+
64,Rafelbunyol,39.5885238647,-0.3310583234,A B
63,La Pobla de Farnals,39.5794181824,-0.3304361105,A B
62,Massamagrell,39.5705604553,-0.3330333233,A B
61,Museros,39.5615768433,-0.3408555686,A B
60,Albalat dels Sorells,39.5452651978,-0.3482888937,A B
59,Foios,39.5372238159,-0.3538694382,A B
58,Meliana,39.5280303955,-0.3518194556,A B
57,Almàssera,39.5122566223,-0.3542666733,A B
56,Alboraia Peris Aragó,39.5007629395,-0.352327764,A B
79,Alboraia Palmaret,39.4956626892,-0.3552222252,A B
123,Marítim,39.4649391174,-0.3382369876,A
122,Ayora,39.4664268494,-0.3429694474,A
121,Amistat,39.4703330994,-0.3503944576,A
120,Aragó,39.4726257324,-0.3581166565,A
108,Bailén,39.4639778137,-0.3794222176,A
183,La Cova,39.4988899231,-0.4844444394,A B
184,La Presa,39.5172233582,-0.5158333182,A B
188,València la Vella,39.5304832458,-0.5342069864,B
185,Masia de Traver,39.5380554199,-0.5466666818,B
186,Riba-roja de Túria,39.5433349609,-0.5594444275,B
94,Beteró,39.4765930176,-0.3342027664,A
93,Tarongers - Ernest Lluch,39.47813797,-0.3396222293,A
92,La Carrasca,39.4796600342,-0.3448249996,A
91,Universitat Politècnica,39.4813156128,-0.3504999876,A
90,Vicente Zaragozá,39.4833717346,-0.3579472303,A
88,Trinitat,39.4862709045,-0.3677638769,A
87,Pont de Fusta,39.4817810059,-0.3731805682,A
86,Sagunt,39.4864997864,-0.3749722242,A
85,Reus,39.4859657288,-0.3817070127,A
84,Marxalenes,39.4879722595,-0.3838368952,A
83,Trànsits,39.4895629883,-0.387258321,A
82,Benicalap,39.4900283813,-0.3909277916,A
81,Garbí,39.4922904968,-0.3945111036,A
80,Florista,39.4944343567,-0.3968166709,A
55,Palau de Congressos,39.4971809387,-0.4001416564,A
105,La Granja,39.504032135,-0.4124779999,A B
104,Sant Joan,39.5052909851,-0.4163239896,A B
103,Campus,39.5072212219,-0.4174583256,A B
102,Vicent Andrés Estellés,39.5085601807,-0.4198839962,A B
98,Dr. Lluch,39.4693069458,-0.3281527758,A
99,Cabanyal,39.4728546143,-0.3275833428,A
95,La Cadena,39.4752044678,-0.3293749988,A
110,À Punt,39.5122032166,-0.424748987,A B
111,Parc Científic,39.5151405334,-0.4226219952,A B
112,Tomás y Valiente,39.5197715759,-0.4256361127,A B
113,La Coma,39.521572113,-0.4317069948,A B
114,Mas del Rosari,39.5249595642,-0.4358249903,A B
128,Alfauir,39.4892997742,-0.3660329878,A
129,Orriols,39.4931488037,-0.3676636219,A
130,Estadi Ciutat de València,39.4949188232,-0.3655419946,A
131,Sant Miquel dels Reis,39.4972190857,-0.3684949875,A
132,Tossal del Rei,39.4959526062,-0.3725369871,A
115,Ll. Llarga - Terramelar,39.5098991394,-0.4304472208,A B
124,Francesc Cubells,39.4632453918,-0.3339729905,A
125,Grau - La Marina,39.4631004333,-0.3294720054,A
127,Canyamelar,39.4665222168,-0.3279320002,A
126,Neptú,39.4632530212,-0.3258508444,A
96,Platja Malva-rosa,39.473690033,-0.3257277906,A
97,Platja les Arenes,39.4689292908,-0.3257277906,A
190,Alacant,39.463583,-0.377389,A
191,Russafa,39.463913,-0.369531,A
192,Amado Granell - Montolivet,39.459373,-0.36511,A
193,Quatre Carreres,39.452447,-0.360125,A
194,Ciutat Arts i Ciències - Justícia,39.452592,-0.353216,A
195,Oceanogràfic,39.452038,-0.347342,A
196,Moreres,39.45015,-0.338408,A
197,Natzaret,39.449889,-0.334674,A
89,Benimaclet,0,0,
